Easting,Northing,Severity of casualty,Casualty Class,Sex,Age,Date,Day of week,Hour of day,Local authority,Vehicle type,Pedestrian Locality
532680,181100,Serious,Pedestrian,Male,40,13/04/2010,Tuesday,18,City of London,Pedal cycle,Not a pedestrian
533260,180620,Serious,Driver or rider,Male,44,08/04/2010,Thursday,8,City of London,Pedal cycle,Crossing on ped. crossing facility
533250,181130,Serious,Pedestrian,Male,55,12/05/2010,Wednesday,9,City of London,Goods 3.5 tonnes maximum gross weight or under,Not a pedestrian
531910,181830,Serious,Driver or rider,Male,28,29/05/2010,Saturday,6,City of London,Car,Not a pedestrian
532280,181200,Serious,Driver or rider,Female,30,13/05/2010,Thursday,23,City of London,Pedal cycle,Not a pedestrian
531950,181340,Serious,Pedestrian,Male,62,25/06/2010,Friday,15,City of London,Motor cycle 125cc and under,Not a pedestrian
532650,181110,Serious,Driver or rider,Female,26,22/06/2010,Tuesday,7,City of London,Pedal cycle,Not a pedestrian
531420,181170,Serious,Driver or rider,Female,29,24/06/2010,Thursday,9,City of London,Pedal cycle,Not a pedestrian
532480,180800,Serious,Driver or rider,Male,62,23/06/2010,Wednesday,8,City of London,Motorcycle over 500cc,Not a pedestrian
533360,181770,Serious,Pedestrian,Male,22,28/07/2010,Wednesday,0,City of London,Goods 3.5 tonnes maximum gross weight or under,Not a pedestrian
531570,181570,Serious,Driver or rider,Male,56,12/07/2010,Monday,19,City of London,Motorcycle over 125cc and up to 500cc,Not a pedestrian
531370,180810,Serious,Pedestrian,Male,51,18/07/2010,Sunday,21,City of London,Motorcycle over 500cc,Not a pedestrian
532680,181450,Serious,Driver or rider,Female,31,16/07/2010,Friday,21,City of London,Pedal cycle,Crossing elsewhere within 50m. of ped.crossing
532770,181760,Serious,Pedestrian,Female,28,07/07/2010,Wednesday,18,City of London,Pedal cycle,"In carriageway, crossing elsewhere"
531170,181120,Serious,Driver or rider,Female,35,15/08/2010,Sunday,15,City of London,Pedal cycle,Not a pedestrian
532690,180890,Serious,Driver or rider,Male,42,01/09/2010,Wednesday,9,City of London,Pedal cycle,Not a pedestrian
533070,181130,Serious,Pedestrian,Male,35,30/08/2010,Monday,18,City of London,Bus or coach (17 or more pass seats),On footway or verge
533210,180760,Serious,Pedestrian,Male,34,22/09/2010,Wednesday,8,City of London,Goods 7.5 tonnes mgw and over,Crossing elsewhere within 50m. of ped.crossing
533040,181460,Serious,Driver or rider,Male,27,21/09/2010,Tuesday,8,City of London,Pedal cycle,Not a pedestrian
531630,181170,Serious,Driver or rider,Female,25,30/09/2010,Thursday,9,City of London,Pedal cycle,Not a pedestrian
532860,180760,Serious,Pedestrian,Male,24,20/11/2010,Saturday,2,City of London,Car,Not a pedestrian
531890,181360,Serious,Driver or rider,Male,26,09/11/2010,Tuesday,6,City of London,Pedal cycle,Not a pedestrian
533500,180920,Serious,Pedestrian,Male,68,26/10/2010,Tuesday,17,City of London,Taxi/Private hire car,"In carriageway, crossing elsewhere"
531610,181300,Serious,Pedestrian,Female,22,28/10/2010,Thursday,7,City of London,Goods 3.5 tonnes maximum gross weight or under,Crossing elsewhere within 50m. of ped.crossing
531560,181560,Serious,Pedestrian,Female,44,14/10/2010,Thursday,19,City of London,Car,Not a pedestrian
531760,180950,Serious,Driver or rider,Male,27,01/10/2010,Friday,7,City of London,Pedal cycle,Not a pedestrian
532670,181390,Fatal,Pedestrian,Male,49,17/08/2010,Tuesday,14,City of London,Bus or coach (17 or more pass seats),Not a pedestrian
532700,181540,Serious,Driver or rider,Male,55,21/12/2010,Tuesday,10,City of London,Pedal cycle,Not a pedestrian
532590,181130,Serious,Pedestrian,Male,61,05/12/2010,Sunday,8,City of London,Bus or coach (17 or more pass seats),Not a pedestrian
532440,180970,Serious,Driver or rider,Male,49,10/12/2010,Friday,23,City of London,Pedal cycle,Not a pedestrian
532130,181060,Serious,Driver or rider,Male,23,17/12/2010,Friday,0,City of London,Pedal cycle,Not a pedestrian
528400,186090,Serious,Pedestrian,Female,14,08/01/2010,Friday,15,Camden,Car,Not a pedestrian
527770,181930,Serious,Driver or rider,Male,25,09/01/2010,Saturday,21,Westminster,Car,Not a pedestrian
530820,180960,Serious,Pedestrian,Female,27,12/01/2010,Tuesday,18,Westminster,Goods 7.5 tonnes mgw and over,Not a pedestrian
529550,182470,Serious,Driver or rider,Male,52,19/01/2010,Tuesday,0,Camden,Motorcycle over 500cc,Not a pedestrian
528400,180150,Serious,Driver or rider,Male,34,20/01/2010,Wednesday,15,Westminster,Motorcycle over 500cc,Not a pedestrian
528650,179290,Serious,Driver or rider,Male,22,20/01/2010,Wednesday,18,Westminster,Pedal cycle,Not a pedestrian
526680,185260,Serious,Driver or rider,Male,45,21/01/2010,Thursday,16,Camden,Motorcycle over 500cc,Not a pedestrian
529310,184370,Serious,Pedestrian,Female,58,22/01/2010,Friday,16,Camden,Car,Not a pedestrian
527640,181310,Serious,Passenger,Female,23,22/01/2010,Friday,19,Westminster,Car,"In carriageway, crossing elsewhere"
525030,184120,Serious,Driver or rider,Female,39,18/01/2010,Monday,9,Brent,Bus or coach (17 or more pass seats),Not a pedestrian
528040,181030,Serious,Driver or rider,Male,32,27/01/2010,Wednesday,1,Westminster,Pedal cycle,Not a pedestrian
528420,179150,Serious,Driver or rider,Male,37,26/01/2010,Tuesday,18,Westminster,Motorcycle over 500cc,Not a pedestrian
528980,183900,Serious,Pedestrian,Male,61,20/01/2010,Wednesday,12,Camden,Bus or coach (17 or more pass seats),"In carriageway, not crossing"
527350,185080,Serious,Pedestrian,Female,55,29/01/2010,Friday,7,Camden,Taxi/Private hire car,Not a pedestrian
528820,181650,Serious,Driver or rider,Male,45,01/02/2010,Monday,11,Westminster,Motorcycle over 500cc,Not a pedestrian
525890,180590,Serious,Passenger,Female,36,01/02/2010,Monday,18,Westminster,Car,Not a pedestrian
526560,182910,Serious,Driver or rider,Male,30,03/02/2010,Wednesday,17,Westminster,Pedal cycle,Not a pedestrian
530210,179190,Serious,Driver or rider,Female,57,04/02/2010,Thursday,18,Westminster,Pedal cycle,Not a pedestrian
529770,180460,Serious,Pedestrian,Female,27,02/02/2010,Tuesday,15,Westminster,Bus or coach (17 or more pass seats),Not a pedestrian
530140,179580,Serious,Pedestrian,Female,76,07/02/2010,Sunday,11,Westminster,Taxi/Private hire car,"In carriageway, not crossing"
530130,182710,Serious,Pedestrian,Female,83,10/02/2010,Wednesday,13,Camden,Car,Not a pedestrian
528300,179830,Serious,Driver or rider,Male,36,29/01/2010,Friday,21,Westminster,Pedal cycle,Not a pedestrian
530520,180780,Serious,Passenger,Male,38,12/02/2010,Friday,1,Westminster,Bus or coach (17 or more pass seats),Crossing elsewhere within 50m. of ped.crossing
529310,182180,Serious,Pedestrian,Female,51,11/02/2010,Thursday,9,Camden,Goods 3.5 tonnes maximum gross weight or under,Not a pedestrian
526530,180950,Serious,Driver or rider,Male,34,09/02/2010,Tuesday,8,Westminster,Motor cycle 125cc and under,Not a pedestrian
528780,182590,Serious,Driver or rider,Male,67,29/01/2010,Friday,10,Camden,Motorcycle over 500cc,Not a pedestrian
530080,178210,Serious,Pedestrian,Male,43,17/02/2010,Wednesday,18,Westminster,Motorcycle over 500cc,Not a pedestrian
525990,180620,Serious,Pedestrian,Female,59,20/02/2010,Saturday,14,Westminster,Car,Not a pedestrian
529410,178690,Serious,Driver or rider,Male,21,22/02/2010,Monday,22,Westminster,Car,Not a pedestrian
529410,178690,Serious,Passenger,Male,unknown,22/02/2010,Monday,22,Westminster,Car,Not a pedestrian
526470,182340,Serious,Pedestrian,Male,73,22/02/2010,Monday,15,Westminster,Motor cycle 125cc and under,Not a pedestrian
526410,180710,Serious,Pedestrian,Male,64,23/02/2010,Tuesday,8,Westminster,Car,Not a pedestrian
529520,178280,Serious,Driver or rider,Male,28,24/02/2010,Wednesday,18,Westminster,Car,Not a pedestrian
528730,182320,Serious,Pedestrian,Female,63,25/02/2010,Thursday,18,Camden,Pedal cycle,Unknown or other
528850,181190,Serious,Pedestrian,Female,30,25/02/2010,Thursday,16,Westminster,Bus or coach (17 or more pass seats),Not a pedestrian
528600,181800,Serious,Driver or rider,Male,74,27/02/2010,Saturday,8,Westminster,Car,Not a pedestrian
528600,181800,Serious,Driver or rider,Male,28,27/02/2010,Saturday,8,Westminster,Car,"In carriageway, crossing elsewhere"
529960,182700,Serious,Driver or rider,Male,30,04/03/2010,Thursday,15,Camden,Pedal cycle,Not a pedestrian
525540,181760,Serious,Driver or rider,Male,22,06/03/2010,Saturday,17,Westminster,Motor cycle 125cc and under,Not a pedestrian
530910,182400,Serious,Driver or rider,Male,unknown,05/03/2010,Friday,20,Camden,Pedal cycle,Not a pedestrian
528830,185960,Serious,Driver or rider,Male,16,09/03/2010,Tuesday,9,Camden,Pedal cycle,On footway or verge
526840,181120,Serious,Driver or rider,Male,22,10/03/2010,Wednesday,16,Westminster,Motor cycle 125cc and under,Not a pedestrian
526660,182660,Serious,Driver or rider,Male,55,01/03/2010,Monday,8,Westminster,Motorcycle over 500cc,Not a pedestrian
529190,184190,Serious,Driver or rider,Male,18,12/03/2010,Friday,13,Camden,Motorcycle over 500cc,"In carriageway, crossing elsewhere"
530320,179900,Serious,Driver or rider,Male,28,12/03/2010,Friday,7,Westminster,Motorcycle over 500cc,Not a pedestrian
525270,181370,Serious,Driver or rider,Female,38,15/03/2010,Monday,18,Westminster,Car,Not a pedestrian
526630,184330,Serious,Pedestrian,Female,56,01/01/2010,Friday,1,Camden,Car,Not a pedestrian
